del;area;pop_t;pop_urb;mig_out;mig_in;act_t;act_h;act_f;unemp_t;unemp_h;unemp_f;emp_t;emp_m;emp_f;emp_agr_t;emp_inds_t;emp_min_t;emp_bpw_t;emp_shop_t;emp_trans_t;emp_adm_t;emp_serv_t;emp_unk_t;pop_edu_noinst_t;pop_edu_prim_t;pop_edu_sec_t;pop_edu_sup_t;pop_edu_tot
TS1110;14;20715;20715;2379;3265;7745;5028;2717;984;568;416;6761;4460;2301;112;995;152;310;880;451;1867;1825;169;2264;4826;7332;3737;18158
TS1111;2;26703;4733;42243;2771;10786;7863;2923;1541;985;556;9245;6878;2367;43;1287;90;442;2737;548;2029;1991;78;3895;7544;9586;2581;23607
TS1112;4;39806;39806;12701;6812;16667;10940;5727;1813;1027;786;14854;9913;4941;65;1478;225;570;2536;1218;4165;4392;205;3695;7264;16435;8658;36051
TS1113;3;33284;33284;7199;2548;12227;8580;3647;1710;1110;600;10517;7470;3047;54;1501;131;513;2118;720;2933;2476;71;4595;9091;12597;3182;29465
TS1114;7;40801;40801;4446;3645;15162;10394;4768;2914;1974;940;12248;8420;3828;73;1834;159;883;1869;836;3564;2909;121;6229;12518;12145;4371;35263
TS1115;10;62138;62138;6375;8805;22558;15461;7097;3465;2199;1266;19093;13262;5831;60;2880;249;971;2898;1782;6223;3909;121;6476;15501;22335;9963;54275
TS1116;2;21956;21956;2758;3790;8449;5721;2728;1144;705;439;7305;5016;2289;23;974;132;288;990;732;2641;1472;53;1932;4860;8540;3725;19057
TS1117;11;43320;43320;6856;5995;17989;10163;7826;807;416;391;17182;9747;7435;193;1540;259;576;2110;974;5738;5637;155;2069;5454;13493;17229;38245
TS1118;29;36818;36818;4073;6755;14930;9701;5229;1321;785;536;13609;8916;4693;96;1884;258;658;1887;1104;3897;3672;153;3183;6993;13035;9018;32229
TS1119;13;70244;70244;12838;8507;26155;17481;8674;3478;2146;1332;22677;15335;7342;146;3186;379;1100;3115;1892;8051;4538;270;7321;15148;26649;12119;61237
TS111A;5;36171;36171;4285;1944;13398;9298;4100;3347;2144;1203;10051;7154;2897;23;2048;65;734;2311;729;1918;2096;127;7210;12880;10024;1173;31287
TS111B;4;40434;40434;667;1052;14357;10264;4093;2203;1391;812;12154;8873;3281;45;1978;135;718;2221;1210;3467;2247;133;5417;11375;14554;3212;34558
TS111C;55;96245;96245;3513;10600;33764;24870;8894;5346;3468;1878;28418;21402;7016;359;5826;301;2884;4660;2539;6571;5049;229;13910;30079;32159;5426;81574
TS111D;86;79381;79381;1699;10625;27321;21171;6150;4069;2845;1224;23252;18326;4926;368;5818;175;4151;3459;1787;3458;3778;258;13213;28680;20975;2147;65015
TS111E;15;33734;33734;6430;2356;11316;8109;3207;1847;1216;631;9469;6893;2576;47;1893;133;507;1616;934;2236;1987;116;5227;9059;11690;3126;29102
TS111F;4;81261;81261;3153;10131;27829;19891;7938;4423;2874;1549;23406;17017;6389;112;4806;327;1927;3578;1994;6305;4162;195;10160;23911;28174;6350;68594
TS111G;4;29911;29911;2778;3246;11035;7676;3359;1562;1012;550;9473;6664;2809;40;1469;161;455;2036;754;2367;2049;142;4151;7900;10827;3495;26373
TS111H;4;26490;26490;2285;1550;9700;6686;3014;2285;1596;689;7415;5090;2325;25;2978;112;594;1002;564;1025;1044;71;4400;9654;7612;1033;22698
TS111I;11;28407;28407;2765;3981;10536;7159;3377;1231;749;482;9305;6410;2895;161;1040;151;515;1294;1030;2896;2044;174;2621;6326;10936;4516;24399
TS111J;18;58152;58152;3212;7522;21558;14581;6977;2922;1752;1170;18636;12829;5807;259;3347;476;1459;2547;1744;4237;4181;386;7848;14741;19909;6973;49471
TS111K;46;77890;77890;5026;7386;30205;20097;10108;2903;1723;1180;27302;18374;8928;395;4282;465;2285;3414;1536;6004;8036;885;8757;18199;27622;11974;66551
TS1120;18;97687;97687;15426;16961;39371;24478;14893;2385;1466;919;36350;23012;13338;296;3856;681;1777;5077;2601;11675;10387;636;6546;14462;33194;30375;84576
TS1121;37;89151;89151;2832;19129;35706;24983;10723;4163;2698;1465;31005;22285;8720;508;7987;369;4679;3699;2129;5448;6186;538;12632;24522;27362;9844;74360
TS1122;58;60896;53911;1443;14053;22439;16356;6083;2571;1736;835;19581;14620;4961;565;3492;297;2849;2206;1985;4281;3906;287;6685;17286;18719;7654;50344
TS1123;240;23045;15313;528;728;7265;6147;1118;585;456;129;6600;5691;909;2405;1024;41;648;529;366;1032;555;80;3651;8461;5511;903;18526
TS1124;106;19404;8909;723;1298;6888;5278;1610;1117;783;334;5704;4495;1209;1180;1260;48;618;419;320;1120;739;67;3933;6929;4719;719;16300
TS1125;8;78311;78311;5245;5651;27706;20587;7119;4788;3338;1450;22441;17249;5192;111;5195;152;4220;3482;1365;3965;3951;477;14236;25216;23536;3626;66614
TS1126;32;53752;40176;985;7258;18206;14088;4118;2488;1770;718;15379;12318;3061;140;3063;109;3740;1900;952;2800;2675;339;9845;17009;14845;2152;43850
TS1130;8;32329;32329;9381;3963;12156;8288;3868;1942;1205;737;10044;7083;2961;59;3197;137;501;1378;889;2258;1625;170;3770;8575;12197;3205;27747
TS1131;8;42603;42603;2295;6070;16071;10978;5093;2362;1528;834;13562;9450;4112;67;4634;268;1024;1689;984;2857;2039;147;4630;11864;15509;4429;36432
TS1132;13;81986;81986;5773;21829;31324;21759;9565;2989;1705;1284;28045;20054;7991;167;5081;594;1910;3950;2731;9365;4247;290;5052;18064;32150;11683;66949
TS1133;14;38401;38401;4802;3130;13843;9548;4295;2223;1403;820;11509;8145;3364;192;2764;147;716;1683;984;2681;2342;111;4672;10365;14476;3679;33192
TS1134;13;24847;24847;1551;4997;9705;6420;3285;1343;778;565;8281;5642;2639;142;2478;132;574;877;648;2035;1395;81;2586;6255;9864;3011;21716
TS1135;12;27977;27977;1135;5831;10441;7380;3061;1003;666;337;9354;6714;2640;570;2469;110;982;1063;601;1977;1582;84;3513;7283;9269;3298;23364
TS1136;17;31792;31792;3991;5508;12907;8117;4790;1507;789;718;11291;7328;3963;216;2206;224;615;1523;1094;2969;2444;109;2624;6518;12479;5594;27216
TS1137;20;44857;44857;3708;7221;17087;11614;5473;1894;1214;680;14986;10400;4586;202;3548;285;1079;2096;1392;3747;2637;207;4447;10678;16826;6438;38388
TS1138;9;24031;24031;2872;1880;8787;5811;2976;1077;703;374;7577;5108;2469;28;2141;139;346;1006;589;1839;1489;133;2556;5760;9112;3301;20729
TS1139;170;46613;40662;2327;6451;15228;11768;3460;3020;2043;977;11954;9725;2229;576;2875;138;1965;1326;1178;2352;1544;254;7476;15537;13544;1807;38364
TS113A;65;56628;33958;2695;8910;19941;14973;4968;3180;2127;1053;16587;12846;3741;599;5381;197;2160;2193;1368;2642;2047;174;8103;18724;17667;2397;46890
TS113B;412;53709;33137;1836;3515;18807;14347;4460;2338;1715;623;16295;12632;3663;4017;4078;183;1361;1490;1108;2174;1884;174;10572;19129;12858;2055;44614
TS1140;11;51398;51398;9466;7033;18686;12509;6177;2457;1541;916;15931;10968;4963;245;2389;252;887;1895;1394;5712;3157;298;5109;11697;19299;8593;44698
TS1141;1;75959;75535;1518;7514;27782;20429;7353;5021;3430;1591;22528;16999;5529;193;6442;178;4692;2491;1042;3852;3638;233;14229;25256;21341;2869;63696
TS1142;75;58544;47614;2109;6450;20834;14957;5877;3283;2149;1134;17338;12808;4530;1180;4435;252;2279;1692;980;4166;2354;213;8911;19067;18159;2945;49081
TS1143;273;35129;13691;1352;2806;12364;9518;2846;1693;1210;483;10445;8308;2137;1452;2357;106;1442;1083;865;1738;1402;226;6560;11996;9443;1663;29662
